,job_title,company_name,location,job_kind,skills
10,Python Developer,OdooTec,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design
11,Senior Python / Django Developer,RDI,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs
12,Senior Python Developer,Trufla,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST
13,Full Stack Developer,Remote Platz,"Cairo, Egypt ",Full Time,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · fulll-stack · JavaScript · Vue.js · Python · Django · Node.js · Information Technology (IT) · HTML
14,"Solutions Engineer (Frontend, React)",Remotecoders,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front end · Information Technology (IT) · Software Development · Front end developer · React · Computer Engineering · Computer Science · CSS
15,SRE & Support Engineer,Cegedim,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell
16,DevOps/ProdOPS Engineer,Cegedim,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · DevOps · ProdOPS · Gradle · Git · Openshift
17,Cyber Security Engineer,axispay,"Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Cyber Security · Computer Science · Microsoft Office · Security · Python · SIEM
18,Technical Artist,Limbic Entertainment (Cairo Office),"Sheraton, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Unreal Engine · Game development · Scripting · VFX · Autodesk Maya · Autodesk 3ds Max · Adobe Photoshop · Python
19,Senior System Operation Engineer,Kashier Payment Solutions,"Zamalek, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · OpenShift · Linux Varietal · Docker · Tomcat · Hyper-V · Python · Computer Engineering · Troubleshooting
20,Odoo Developer,Target Recruitment  & HR Solutions ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Odoo Developer · Python · developer · Computer Science · Information Technology (IT) · Integration
21,Data Science Supervisor,Raya Customer Experience,"6th of October, Giza, Egypt ",Full Time,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · BI · Analysis · SQL · Data · ETL · Information Technology (IT) · Programming · MySQL
22,Data Engineer,Centro CDX,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Data · Database · Engineering · Information Technology (IT) · IT
23,Sr. Backend/Database Engineer,Dar Al Handasah,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · JavaScript · .Net · C# · VB.net · Java · SQL · PostgreSQL
24,Sr. Data Analytics Engineer,Dar Al Handasah,"Smart Village, Giza, Egypt ",Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Database Development · DB Design · Dimensional Modeling · Python · SQL · PostgreSQL
25,Senior Full Stack Developer,Egyptian Medical Syndicates Union,"Garden City, Cairo, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · Java · Linux · Programming · JavaScript · Software Development
26,Full Stack Developer,Egyptian Medical Syndicates Union,"Garden City, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · Java · Linux · Programming · JavaScript · Software Development
27,Odoo Developer,classera,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming · Computer Science · HTML · XML · jQuery · Odoo · PostgreSQL · JavaScript
28,DevOps Engineer (Remotely for USA),Mobile Wave 3,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 6 - 15 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · AWS · Information Technology (IT) · Java · Kubernetes
29,Senior .NET Full Stack Developer (.NET Core & Angular),Excel Systems  ,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python
30,R&D Software Engineer (RSDE-L2),TensorGraph,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Computer Science · Machine Learning · Computer Vision · C++ · C# · AWS · Algorithms
